DateTime,Away,Home
"Tue, Nov 19, 2013 10:00 pm",Phoenix Suns,Sacramento Kings
"Tue, Nov 19, 2013 7:00 pm",Minnesota Timberwolves,Washington Wizards
"Wed, Nov 20, 2013 7:30 pm",Detroit Pistons,Atlanta Hawks
"Wed, Nov 20, 2013 7:00 pm",Brooklyn Nets,Charlotte Bobcats
"Wed, Nov 20, 2013 7:00 pm",Washington Wizards,Cleveland Cavaliers
"Wed, Nov 20, 2013 9:30 pm",Houston Rockets,Dallas Mavericks
"Wed, Nov 20, 2013 10:30 pm",Memphis Grizzlies,Golden State Warriors
"Wed, Nov 20, 2013 8:00 pm",Portland Trail Blazers,Milwaukee Bucks
"Wed, Nov 20, 2013 8:00 pm",Los Angeles Clippers,Minnesota Timberwolves
"Wed, Nov 20, 2013 8:00 pm",Utah Jazz,New Orleans Pelicans
"Wed, Nov 20, 2013 7:00 pm",Indiana Pacers,New York Knicks
"Wed, Nov 20, 2013 7:00 pm",Miami Heat,Orlando Magic
"Wed, Nov 20, 2013 7:00 pm",Toronto Raptors,Philadelphia 76ers
"Wed, Nov 20, 2013 9:00 pm",Sacramento Kings,Phoenix Suns
"Wed, Nov 20, 2013 8:30 pm",Boston Celtics,San Antonio Spurs
"Thu, Nov 21, 2013 10:30 pm",Chicago Bulls,Denver Nuggets
"Thu, Nov 21, 2013 8:00 pm",Los Angeles Clippers,Oklahoma City Thunder
"Fri, Nov 22, 2013 7:30 pm",Indiana Pacers,Boston Celtics
"Fri, Nov 22, 2013 7:00 pm",Phoenix Suns,Charlotte Bobcats
"Fri, Nov 22, 2013 8:30 pm",Utah Jazz,Dallas Mavericks
"Fri, Nov 22, 2013 7:30 pm",Atlanta Hawks,Detroit Pistons
"Fri, Nov 22, 2013 10:30 pm",Golden State Warriors,Los Angeles Lakers
"Fri, Nov 22, 2013 8:00 pm",San Antonio Spurs,Memphis Grizzlies
"Fri, Nov 22, 2013 8:00 pm",Brooklyn Nets,Minnesota Timberwolves
"Fri, Nov 22, 2013 8:00 pm",Cleveland Cavaliers,New Orleans Pelicans
"Fri, Nov 22, 2013 7:00 pm",Milwaukee Bucks,Philadelphia 76ers
"Fri, Nov 22, 2013 10:00 pm",Chicago Bulls,Portland Trail Blazers
"Fri, Nov 22, 2013 7:00 pm",Washington Wizards,Toronto Raptors
"Sat, Nov 23, 2013 7:30 pm",Boston Celtics,Atlanta Hawks
"Sat, Nov 23, 2013 9:00 pm",Dallas Mavericks,Denver Nuggets
"Sat, Nov 23, 2013 10:30 pm",Portland Trail Blazers,Golden State Warriors
"Sat, Nov 23, 2013 8:00 pm",Minnesota Timberwolves,Houston Rockets
"Sat, Nov 23, 2013 7:00 pm",Philadelphia 76ers,Indiana Pacers
"Sat, Nov 23, 2013 3:30 pm",Sacramento Kings,Los Angeles Clippers
"Sat, Nov 23, 2013 7:30 pm",Orlando Magic,Miami Heat
