DateTime,Away,Home,Arena
2017-11-17 22:00:00,Portland Trail Blazers,Sacramento Kings,Golden 1 Center
2017-11-17 22:30:00,New Orleans Pelicans,Denver Nuggets,Pepsi Center
2017-11-17 22:30:00,Phoenix Suns,Los Angeles Lakers,Staples Center
2017-11-18 19:00:00,Los Angeles Clippers,Charlotte Hornets,Spectrum Center
2017-11-18 19:00:00,Utah Jazz,Orlando Magic,Amway Center
2017-11-18 19:30:00,Boston Celtics,Atlanta Hawks,Philips Arena
2017-11-18 19:30:00,Golden State Warriors,Philadelphia 76ers,Wells Fargo Center
2017-11-18 20:00:00,Houston Rockets,Memphis Grizzlies,FedExForum
2017-11-18 21:00:00,Milwaukee Bucks,Dallas Mavericks,American Airlines Center
2017-11-18 22:00:00,Sacramento Kings,Portland Trail Blazers,Moda Center
2017-11-19 15:30:00,Washington Wizards,Toronto Raptors,Air Canada Centre
2017-11-19 17:00:00,Indiana Pacers,Miami Heat,AmericanAirlines Arena
2017-11-19 18:00:00,Golden State Warriors,Brooklyn Nets,Barclays Center
2017-11-19 19:00:00,Detroit Pistons,Minnesota Timberwolves,Target Center
2017-11-19 20:00:00,Chicago Bulls,Phoenix Suns,Talking Stick Resort Arena
2017-11-19 21:30:00,Denver Nuggets,Los Angeles Lakers,Staples Center
2017-11-20 19:00:00,Utah Jazz,Philadelphia 76ers,Wells Fargo Center
2017-11-20 19:00:00,Cleveland Cavaliers,Detroit Pistons,Little Caesars Arena
2017-11-20 19:00:00,Indiana Pacers,Orlando Magic,Amway Center
2017-11-20 19:00:00,Minnesota Timberwolves,Charlotte Hornets,Spectrum Center
2017-11-20 19:30:00,Los Angeles Clippers,New York Knicks,Madison Square Garden
2017-11-20 20:00:00,Portland Trail Blazers,Memphis Grizzlies,FedExForum
2017-11-20 20:00:00,Washington Wizards,Milwaukee Bucks,BMO Harris Bradley Center
2017-11-20 20:00:00,Oklahoma City Thunder,New Orleans Pelicans,Smoothie King Center
2017-11-20 20:30:00,Boston Celtics,Dallas Mavericks,American Airlines Center
2017-11-20 20:30:00,Atlanta Hawks,San Antonio Spurs,AT&T Center
2017-11-20 22:00:00,Denver Nuggets,Sacramento Kings,Golden 1 Center
2017-11-21 22:30:00,Chicago Bulls,Los Angeles Lakers,Staples Center
2017-11-22 19:00:00,Washington Wizards,Charlotte Hornets,Spectrum Center
2017-11-22 19:00:00,Portland Trail Blazers,Philadelphia 76ers,Wells Fargo Center
2017-11-22 19:00:00,Brooklyn Nets,Cleveland Cavaliers,Quicken Loans Arena
2017-11-22 19:30:00,Los Angeles Clippers,Atlanta Hawks,Philips Arena
2017-11-22 19:30:00,Boston Celtics,Miami Heat,AmericanAirlines Arena
2017-11-22 19:30:00,Toronto Raptors,New York Knicks,Madison Square Garden
2017-11-22 20:00:00,Denver Nuggets,Houston Rockets,Toyota Center
2017-11-22 20:00:00,Dallas Mavericks,Memphis Grizzlies,FedExForum
2017-11-22 20:00:00,Orlando Magic,Minnesota Timberwolves,Target Center
2017-11-22 20:00:00,San Antonio Spurs,New Orleans Pelicans,Smoothie King Center
2017-11-22 20:00:00,Golden State Warriors,Oklahoma City Thunder,Chesapeake Energy Arena
2017-11-22 21:00:00,Chicago Bulls,Utah Jazz,Vivint Smart Home Arena
2017-11-22 21:00:00,Milwaukee Bucks,Phoenix Suns,Talking Stick Resort Arena
2017-11-22 22:30:00,Los Angeles Lakers,Sacramento Kings,Golden 1 Center
2017-11-24 12:00:00,Portland Trail Blazers,Brooklyn Nets,Barclays Center
2017-11-24 19:30:00,Orlando Magic,Boston Celtics,TD Garden
2017-11-24 19:30:00,New York Knicks,Atlanta Hawks,Philips Arena
2017-11-24 20:00:00,Charlotte Hornets,Cleveland Cavaliers,Quicken Loans Arena
2017-11-24 20:00:00,Toronto Raptors,Indiana Pacers,Bankers Life Fieldhouse
2017-11-24 20:00:00,Miami Heat,Minnesota Timberwolves,Target Center
2017-11-24 20:00:00,Detroit Pistons,Oklahoma City Thunder,Chesapeake Energy Arena
2017-11-24 21:00:00,Memphis Grizzlies,Denver Nuggets,Pepsi Center
2017-11-24 21:00:00,New Orleans Pelicans,Phoenix Suns,Talking Stick Resort Arena
2017-11-24 22:30:00,Chicago Bulls,Golden State Warriors,Oracle Arena
2017-11-25 19:00:00,Orlando Magic,Philadelphia 76ers,Wells Fargo Center
2017-11-25 19:00:00,Portland Trail Blazers,Washington Wizards,Capital One Arena
2017-11-25 19:00:00,San Antonio Spurs,Charlotte Hornets,Spectrum Center
2017-11-25 19:30:00,Toronto Raptors,Atlanta Hawks,Philips Arena
2017-11-25 20:00:00,New York Knicks,Houston Rockets,Toyota Center
2017-11-25 20:00:00,Boston Celtics,Indiana Pacers,Bankers Life Fieldhouse
